model,model_group,auth_tdr,auth_fdr,rogue_rejection_rate,mean_adr,adr_across_trials_std
lda,added,0.2310185185185185,0.12556545650061746,0.8568289318891728,0.5439237252038457,0.016763850413250906
logistic_regression,existing,0.31736111111111115,0.22285188758612007,0.7473616688978134,0.5323613900044624,0.031653717499823715
extra_trees,added,0.04390432098765432,0.02704878092132994,0.9690590645409922,0.5064816927643233,0.020052665567938447
random_forest,existing,0.030555555555555555,0.015181338269573562,0.9741814733682204,0.5023685144618879,0.011140055610842586
