trial,target_device,model,model_group,feature_method,outer_fold,selected_features,inner_cv_balanced_accuracy,auth_tdr,auth_fdr,rogue_rejection_rate,adr,n_auth_train,n_auth_test,n_rogue_external_test
trial_1,device9,lda,added,ANOVA fitted inside training folds,1,50,,0.4,0.09090909090909091,0.88,0.64,30,16,100
trial_1,device9,lda,added,ANOVA fitted inside training folds,2,50,,0.5,0.09090909090909091,0.81,0.655,31,15,100
trial_1,device9,lda,added,ANOVA fitted inside training folds,3,50,,0.25,0.2727272727272727,0.76,0.505,31,15,100
trial_2,device10,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.9879518072289156,0.4939759036144578,42,21,83
trial_2,device10,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device10,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device6,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.4,0.0,0.891566265060241,0.6457831325301204,42,21,83
trial_2,device6,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.5,0.0,0.927710843373494,0.713855421686747,42,21,83
trial_2,device6,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9759036144578314,0.4879518072289157,42,21,83
trial_2,device12,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device12,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device12,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device3,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device3,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.11764705882352941,0.8433734939759037,0.42168674698795183,42,21,83
trial_2,device3,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9879518072289156,0.4939759036144578,42,21,83
trial_2,device1,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.9759036144578314,0.4879518072289157,42,21,83
trial_2,device1,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.058823529411764705,0.963855421686747,0.4819277108433735,42,21,83
trial_2,device1,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.963855421686747,0.4819277108433735,42,21,83
trial_2,device10,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.15789473684210525,0.6506024096385542,0.3253012048192771,42,21,83
trial_2,device10,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.1111111111111111,0.9156626506024096,0.4578313253012048,42,21,83
trial_2,device10,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.1111111111111111,0.6987951807228916,0.3493975903614458,42,21,83
trial_2,device6,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.6,0.0625,0.7108433734939759,0.655421686746988,42,21,83
trial_2,device6,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,1.0,0.13333333333333333,0.6867469879518072,0.8433734939759037,42,21,83
trial_2,device6,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,1.0,0.13333333333333333,0.6867469879518072,0.8433734939759037,42,21,83
trial_2,device12,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.10526315789473684,0.7228915662650602,0.3614457831325301,42,21,83
trial_2,device12,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.5,0.15789473684210525,0.891566265060241,0.6957831325301205,42,21,83
trial_2,device12,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.10526315789473684,0.8192771084337349,0.40963855421686746,42,21,83
trial_2,device3,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.058823529411764705,0.6867469879518072,0.3433734939759036,42,21,83
trial_2,device3,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.5,0.47058823529411764,0.5301204819277109,0.5150602409638554,42,21,83
trial_2,device3,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.4,0.3125,0.7108433734939759,0.5554216867469879,42,21,83
trial_2,device11,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.5,0.3684210526315789,0.7349397590361446,0.6174698795180723,42,21,83
trial_2,device11,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.5,0.3157894736842105,0.7951807228915663,0.6475903614457832,42,21,83
trial_2,device11,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9397590361445783,0.46987951807228917,42,21,83
trial_2,device1,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.4,0.4375,0.6867469879518072,0.5433734939759036,42,21,83
trial_2,device1,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.75,0.29411764705882354,0.6867469879518072,0.7183734939759037,42,21,83
trial_2,device1,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.5,0.35294117647058826,0.5783132530120482,0.5391566265060241,42,21,83
trial_2,device10,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.9879518072289156,0.4939759036144578,42,21,83
trial_2,device10,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device10,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device6,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.4,0.0625,0.8795180722891566,0.6397590361445783,42,21,83
trial_2,device6,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.8333333333333334,0.06666666666666667,0.9397590361445783,0.8865461847389559,42,21,83
trial_2,device6,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.963855421686747,0.4819277108433735,42,21,83
trial_2,device12,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device12,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device12,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device3,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.9759036144578314,0.4879518072289157,42,21,83
trial_2,device3,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.23529411764705882,0.8433734939759037,0.42168674698795183,42,21,83
trial_2,device3,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device11,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9879518072289156,0.4939759036144578,42,21,83
trial_2,device1,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0625,0.9518072289156626,0.4759036144578313,42,21,83
